Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;20/07/2026;07:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;28;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;08:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;26;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;09:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;31;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;10:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;11:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;33;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;12:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;13:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;34;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;14:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;38;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;15:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;43;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;16:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;54;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;17:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;67;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;18:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;73;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;19:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;66;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;20:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;52;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;21:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;43;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;22:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;34;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;23:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;34;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;24:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;48;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;21/07/2026;01:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;32;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;21/07/2026;02:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;44;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;21/07/2026;03:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;34;-;Sim;-;-;-;-;-
